source,target,weight,topics,edge_type
Harunaga Isaacson,Richard B Mahoney,1,General scholarly discussion,thread_coparticipation
Bob Peck,Samar Abbas,1,General scholarly discussion,thread_coparticipation
Mathias Metzger,Sudalaimuthu Palaniappan,1,General scholarly discussion,thread_coparticipation
Mathias Metzger,Periannan Chandrasekaran,1,General scholarly discussion,thread_coparticipation
Bijoy Misra,Mathias Metzger,1,General scholarly discussion,thread_coparticipation
Narayan R.Joshi,Raveen Satkurunathan,1,General scholarly discussion,thread_coparticipation
Swami Tyagananda,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Stephen Hodge,Swami Tyagananda,1,General scholarly discussion,thread_coparticipation
Rosati,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Rosati,Vidhyanath Rao,1,General scholarly discussion,thread_coparticipation
Rosati,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Rosati,Swami Tyagananda,1,General scholarly discussion,thread_coparticipation
Charles Wikner,James Nye,1,General scholarly discussion,thread_coparticipation
SuryaPrakash Sharma,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Lubomir Ondracka,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Lubomir Ondracka,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Lubomir Ondracka,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Venkatraman Iyer,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Kengo Harimoto,Lubomir Ondracka,1,General scholarly discussion,thread_coparticipation
Swaminathan Madhuresan,mbauri,1,General scholarly discussion,thread_coparticipation
Periannan Chandrasekaran,mbauri,1,General scholarly discussion,thread_coparticipation
N. Ganesan,mbauri,1,General scholarly discussion,thread_coparticipation
Lakshmi Srinivas,mbauri,1,General scholarly discussion,thread_coparticipation
Venkatraman Iyer,shrikant bahulkar,1,General scholarly discussion,thread_coparticipation
Swaminathan Madhuresan,shrikant bahulkar,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,jonathan silk,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,jayabarathi,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Srinivasan Pichumani,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Pratap Kumar,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Palaniappa at aol.com,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Hrid at aol.com,1,General scholarly discussion,thread_coparticipation
Ditte Koenig,Dominik Wujastyk,1,General scholarly discussion,thread_coparticipation
Girish Bhaskaruni,Jonathan Silk,1,General scholarly discussion,thread_coparticipation
Sudalaimuthu Palaniappan,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Luis Gonzalez-Reimann,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Georg von Simson,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Makoto FUSHIMI,Narahari Achar,1,Digital resources and tools,thread_coparticipation
Charles Wikner,N. Ganesan,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Dominik Wujastyk,1,General scholarly discussion,thread_coparticipation
John D. Dunne,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
John D. Dunne,Madhav Deshpande,1,General scholarly discussion,thread_coparticipation
Raveen Satkurunathan,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
N. Ganesan,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Harry Spier,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
John Dunne,birgit kellner,1,General scholarly discussion,thread_coparticipation
John Dunne,Stephen Hodge,1,General scholarly discussion,thread_coparticipation
John Dunne,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Stephen Hodge,1,General scholarly discussion,thread_coparticipation
Bhalchandrarao C Patwardhan,Bjarte Kaldhol,1,General scholarly discussion,thread_coparticipation
SuryaPrakash Sharma,Swantham,1,General scholarly discussion,thread_coparticipation
Jonathan Silk,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Girish Bhaskaruni,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Hrid at aol.com,Mariana Caixeiro,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,Pratap Kumar,1,General scholarly discussion,thread_coparticipation
Ruth Laila Schmidt,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Ruth Laila Schmidt,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Ruth Laila Schmidt,1,General scholarly discussion,thread_coparticipation
Georg von Simson,Sven Sellmer,1,General scholarly discussion,thread_coparticipation
Ian Goddard,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Ian Goddard,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Ian Goddard,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Rajesh Kochhar,1,General scholarly discussion,thread_coparticipation
George Thompson,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
George Thompson,Gunthard Mueller,1,General scholarly discussion,thread_coparticipation
B. Schlerath,Satya Upadhya,1,General scholarly discussion,thread_coparticipation
B. Schlerath,Rajesh Kochhar,1,General scholarly discussion,thread_coparticipation
B. Schlerath,Gunthard Mueller,1,General scholarly discussion,thread_coparticipation
B. Schlerath,Bhadraiah Mallampalli,1,General scholarly discussion,thread_coparticipation
Jan Brzezinski,Ven. Tantra,1,General scholarly discussion,thread_coparticipation
Claude Setzer,Pam Lothspeich,1,Bibliographic requests,thread_coparticipation
Christian Lee Novetzke,Pam Lothspeich,1,Bibliographic requests,thread_coparticipation
Christian Lee Novetzke,Claude Setzer,1,Bibliographic requests,thread_coparticipation
Klaus Karttunen,Samar Abbas,1,General scholarly discussion,thread_coparticipation
Klaus Karttunen,Narayan R.Joshi,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Narayan R.Joshi,1,General scholarly discussion,thread_coparticipation
Erik Hoogcarspel,Klaus Karttunen,1,General scholarly discussion,thread_coparticipation
Stephen Hodge,Timothy C. Cahill,1,General scholarly discussion,thread_coparticipation
Rohit Chopra,youri martini,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Rajarshi Banerjee,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Gunthard Mueller,1,General scholarly discussion,thread_coparticipation
Rupa Viswanath,Swaminathan Madhuresan,1,General scholarly discussion,thread_coparticipation
Rupa Viswanath,Stephen Hodge,1,General scholarly discussion,thread_coparticipation
Phillip Ernest,Rupa Viswanath,1,General scholarly discussion,thread_coparticipation
Katherine K. Brobeck,Patricia Meredith Greer,1,General scholarly discussion,thread_coparticipation
Birgit Kellner,Jogesh Panda,1,General scholarly discussion,thread_coparticipation
Madhav Deshpande,Poornima,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Poornima,1,General scholarly discussion,thread_coparticipation
Joel H. Tatelman,Poornima,1,General scholarly discussion,thread_coparticipation
Joel H. Tatelman,Lars Martin Fosse,1,General scholarly discussion,thread_coparticipation
David R. Israel,Joel H. Tatelman,1,General scholarly discussion,thread_coparticipation
David,Poornima,1,General scholarly discussion,thread_coparticipation
David,Madhav Deshpande,1,General scholarly discussion,thread_coparticipation
David,Lars Martin Fosse,1,General scholarly discussion,thread_coparticipation
David,Joel H. Tatelman,1,General scholarly discussion,thread_coparticipation
David,David R. Israel,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Poornima,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,Joel H. Tatelman,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Omar Jedi,1,General scholarly discussion,thread_coparticipation
Daniela Rossella,Dr Y. Vassilkov,1,General scholarly discussion,thread_coparticipation
JAEKWAN SHIM,birgit kellner,1,General scholarly discussion,thread_coparticipation
Francois Obrist,JAEKWAN SHIM,1,General scholarly discussion,thread_coparticipation
Vanbakkam Vijayaraghavan,vijay shankar,1,General scholarly discussion,thread_coparticipation
Rohit Chopra,vijay shankar,1,General scholarly discussion,thread_coparticipation
Prof. D N Jha,vijay shankar,1,General scholarly discussion,thread_coparticipation
Prof. D N Jha,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Prof. D N Jha,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Prof. D N Jha,Rohit Chopra,1,General scholarly discussion,thread_coparticipation
Omar Jedi,vijay shankar,1,General scholarly discussion,thread_coparticipation
Omar Jedi,rohan.oberoi at CORNELL.EDU,1,General scholarly discussion,thread_coparticipation
Omar Jedi,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Omar Jedi,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Omar Jedi,Rohit Chopra,1,General scholarly discussion,thread_coparticipation
Omar Jedi,Prof. D N Jha,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,vijay shankar,1,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Pratap Kumar,1,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Hrid at aol.com,1,General scholarly discussion,thread_coparticipation
DEVARAKONDA VENKATA NARAYANA SARMA,Ditte Koenig,1,General scholarly discussion,thread_coparticipation
aklujkar at unixg.ubc.ca,jayabarathi,1,General scholarly discussion,thread_coparticipation
Trimble,jonathan silk,1,General scholarly discussion,thread_coparticipation
Trimble,jayabarathi,1,General scholarly discussion,thread_coparticipation
Trimble,aklujkar at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
S Krishna,aklujkar at unixg.ubc.ca,1,General scholarly discussion,thread_coparticipation
RAH,jonathan silk,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Swantham,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Rohit Chopra,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",N. Ganesan,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Lakshmi Srinivas,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Bharat Gupt,1,General scholarly discussion,thread_coparticipation
Francis Parmar,N. Ganesan,1,General scholarly discussion,thread_coparticipation
Mahinda Palihawadana,Roland Steiner,1,General scholarly discussion,thread_coparticipation
Bjarte Kaldhol,Narayan R.Joshi,1,General scholarly discussion,thread_coparticipation
Narayan R.Joshi,iplel,1,General scholarly discussion,thread_coparticipation
rohan.oberoi at CORNELL.EDU,vijay shankar,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Rama Das,1,General scholarly discussion,thread_coparticipation
"Aditya, the Cheerful Hindu Skeptic",Robert Zydenbos,1,General scholarly discussion,thread_coparticipation
Dominik Wujastyk,harsh v. singh,1,Manuscripts and epigraphy,thread_coparticipation
Swantham,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Rohit Chopra,Swantham,1,General scholarly discussion,thread_coparticipation
N. Ganesan,Rohit Chopra,1,General scholarly discussion,thread_coparticipation
Lakshmi Srinivas,Swantham,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,Vanbakkam Vijayaraghavan,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,Swantham,1,General scholarly discussion,thread_coparticipation
Bharat Gupt,Rohit Chopra,1,General scholarly discussion,thread_coparticipation
Bhadraiah Mallampalli,Bharat Gupt,1,General scholarly discussion,thread_coparticipation
Anshuman Pandey,David,1,General scholarly discussion,thread_coparticipation
Chris Wooff,Jay Thakar,1,General scholarly discussion,thread_coparticipation
DKumar6248 at aol.com,Dominique.Thillaud,1,General scholarly discussion,thread_coparticipation
aklujkar at unixg.ubc.ca,jonathan silk,1,General scholarly discussion,thread_coparticipation
SuryaPrakash Sharma,Valerie J Roebuck,1,General scholarly discussion,thread_coparticipation
Rajesh Kochhar,Sherab Ebin,1,Manuscripts and epigraphy,thread_coparticipation
L. A. Nadybal,Sherab Ebin,1,Manuscripts and epigraphy,thread_coparticipation
L. A. Nadybal,Rajesh Kochhar,1,Manuscripts and epigraphy,thread_coparticipation
Brian Akers,Sherab Ebin,1,Manuscripts and epigraphy,thread_coparticipation
Brian Akers,Rajesh Kochhar,1,Manuscripts and epigraphy,thread_coparticipation
Brian Akers,L. A. Nadybal,1,Manuscripts and epigraphy,thread_coparticipation
Rohit Chopra,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Rama Das,Vidyasankar Sundaresan,1,General scholarly discussion,thread_coparticipation
Rama Das,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Rama Das,Stephen Hodge,1,General scholarly discussion,thread_coparticipation
Rama Das,Rohit Chopra,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Lars Martin Fosse,Rama Das,1,General scholarly discussion,thread_coparticipation
Lakshmi Srinivas,SuryaPrakash Sharma,1,General scholarly discussion,thread_coparticipation
Lakshmi Srinivas,Rama Das,1,General scholarly discussion,thread_coparticipation
Jaap Pranger,Peter Flugel,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Yashwant Malaiya,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Samar Abbas,1,General scholarly discussion,thread_coparticipation
Gunthard Mueller,Raveen Satkurunathan,1,General scholarly discussion,thread_coparticipation
Robert Zydenbos,Shailendra Raj Mehta,1,General scholarly discussion,thread_coparticipation
